OPTIC - Optio Protocol Telemetry & Intelligence Center
Address ledger (sent/recv, from/to, amount, fee, running balance)

CWD:          C:\workspace\OPTIC\OPTIC
Config path:  C:\workspace\optic\optic\optic.conf
Config exists:True

OPTIC - Daily Stats Backfill (Block Scanner)
Local data sync initialized at: C:\workspace\OPTIC\OPTIC\odata\optic.db
Scanning blocks from RPC node...
LCD endpoint not available, trying RPC endpoint...
Latest block height: 588561
Starting block scan from block 0...

Γ£ô 2024-11-05 | Blocks: 0 - 1 | Wallets: ? | Active: ? | Txs: ?

  2024-12-28 | Blocks: 18,060 - 19,200 | Wallets: 15 | Txs: 7          
  2024-12-28 | Blocks: 18,060 - 19,300 | Wallets: 25 | Txs: 272          
  2024-12-28 | Blocks: 18,060 - 19,400 | Wallets: 628 | Txs: 510          Γ£ô 2024-12-28 | Blocks: 18,060 - 19,475 | Wallets: 826 | Active: 413 | Txs: 818

  2024-12-29 | Blocks: 19,476 - 19,500 | Wallets: 0 | Txs: 0          
  2024-12-29 | Blocks: 19,476 - 19,600 | Wallets: 828 | Txs: 146          
  2024-12-29 | Blocks: 19,476 - 19,700 | Wallets: 862 | Txs: 696          
  2024-12-29 | Blocks: 19,476 - 19,800 | Wallets: 862 | Txs: 696          
  2024-12-29 | Blocks: 19,476 - 19,900 | Wallets: 862 | Txs: 696          
  2024-12-29 | Blocks: 19,476 - 20,000 | Wallets: 862 | Txs: 696          
  2024-12-29 | Blocks: 19,476 - 20,100 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,200 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,300 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,400 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,500 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,600 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,700 | Wallets: 865 | Txs: 699          
  2024-12-29 | Blocks: 19,476 - 20,800 | Wallets: 865 | Txs: 699          Γ£ô 2024-12-29 | Blocks: 19,476 - 20,891 | Wallets: 866 | Active: 433 | Txs: 700

  2024-12-30 | Blocks: 20,892 - 20,900 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,000 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,100 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,200 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,300 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,400 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,500 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,600 | Wallets: 0 | Txs: 0          
  2024-12-30 | Blocks: 20,892 - 21,700 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 21,800 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 21,900 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 22,000 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 22,100 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 22,200 | Wallets: 862 | Txs: 150          
  2024-12-30 | Blocks: 20,892 - 22,300 | Wallets: 862 | Txs: 150          Γ£ô 2024-12-30 | Blocks: 20,892 - 22,307 | Wallets: 862 | Active: 431 | Txs: 150

  2024-12-31 | Blocks: 22,308 - 22,400 | Wallets: 0 | Txs: 0          
  2024-12-31 | Blocks: 22,308 - 22,500 | Wallets: 0 | Txs: 0          
  2024-12-31 | Blocks: 22,308 - 22,600 | Wallets: 0 | Txs: 0          
  2024-12-31 | Blocks: 22,308 - 22,700 | Wallets: 0 | Txs: 0          
  2024-12-31 | Blocks: 22,308 - 22,800 | Wallets: 0 | Txs: 0          
  2024-12-31 | Blocks: 22,308 - 22,900 | Wallets: 644 | Txs: 105          
  2024-12-31 | Blocks: 22,308 - 23,000 | Wallets: 860 | Txs: 141          
  2024-12-31 | Blocks: 22,308 - 23,100 | Wallets: 860 | Txs: 141          
  2024-12-31 | Blocks: 22,308 - 23,200 | Wallets: 860 | Txs: 141          
  2024-12-31 | Blocks: 22,308 - 23,300 | Wallets: 860 | Txs: 141          
  2024-12-31 | Blocks: 22,308 - 23,400 | Wallets: 860 | Txs: 141          
  2024-12-31 | Blocks: 22,308 - 23,500 | Wallets: 860 | Txs: 143          
  2024-12-31 | Blocks: 22,308 - 23,600 | Wallets: 860 | Txs: 143          
  2024-12-31 | Blocks: 22,308 - 23,700 | Wallets: 860 | Txs: 143          Γ£ô 2024-12-31 | Blocks: 22,308 - 23,724 | Wallets: 860 | Active: 430 | Txs: 143

  2025-01-01 | Blocks: 23,725 - 23,800 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 23,900 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,000 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,100 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,200 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,300 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,400 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,500 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,600 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,700 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,800 | Wallets: 0 | Txs: 0          
  2025-01-01 | Blocks: 23,725 - 24,900 | Wallets: 863 | Txs: 143          
  2025-01-01 | Blocks: 23,725 - 25,000 | Wallets: 863 | Txs: 143          
